symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
BBSE,OP,Call,21.73,5400,0.146109268,BRL,1,12/17/2021
VIIA3,OP,Put,10.25,7900,4.975013733,BRL,1,12/17/2021
MGLU3,OP,Call,9.99,25400,0.042138122,BRL,1,12/17/2021
BRDT3,OP,Call,24,30300,0.407819957,BRL,1,1/21/2022
YDUQ3,OP,Call,26.5,-104600,0.099905603,BRL,1,12/17/2021
CMIG4,OP,Call,13,-200,0.759682417,BRL,1,1/21/2022
BRKM5,OP,Call,46.5,7400,7.350086689,BRL,1,12/17/2021
EQTL,ST,,,4299,22.80999947,BRL,1,
MRFG,OP,Call,27,30000,0.20572564,BRL,1,1/21/2022
MRFG,OP,Call,25.6,-11200,0.094297245,BRL,1,12/17/2021
BBDC4,OP,Put,22.82,-2000,2.798904181,BRL,1,1/21/2022
BRKM5,OP,Call,46,-1600,7.784155369,BRL,1,12/17/2021
EGIE3,OP,Put,40,-9100,1.618263245,BRL,1,12/17/2021
ITSA4,OP,Put,9.97,-183900,0.343193829,BRL,1,12/17/2021
BBSE,OP,Put,21.98,19500,1.444775581,BRL,1,12/17/2021
VIIA3,OP,Call,8.9,-4400,0.008753268,BRL,1,12/17/2021
BRFS3,OP,Call,24.25,26100,0.161693409,BRL,1,1/21/2022
BRAP4,OP,Put,45.16,-4100,0.427650034,BRL,1,12/17/2021
CSNA,OP,Call,32.23,-19100,0.015089162,BRL,1,12/17/2021
BBDC4,OP,Put,24.82,8700,4.727728367,BRL,1,12/17/2021
BBAS,OP,Call,34.21,17800,0.79432416,BRL,1,1/21/2022
VIIA3,OP,Call,6.6,-168600,0.166532859,BRL,1,1/21/2022
MRFG,OP,Call,25.5,17200,0.373103887,BRL,1,1/21/2022
MULT3,ST,,,14596,19.23500061,BRL,1,
YDUQ3,OP,Call,25,7600,0.880002379,BRL,1,1/21/2022
VALE3,OP,Put,101.61,-1100,28.18278885,BRL,1,4/14/2022
HYPE3,OP,Put,29.22,36500,2.297511816,BRL,1,12/17/2021
CSNA,OP,Call,23.73,-12200,0.438065559,BRL,1,12/17/2021
CIEL3,OP,Put,2.06,-31000,0.168523028,BRL,1,1/21/2022
PCAR3,OP,Call,26,5400,0.064265177,BRL,1,12/17/2021
PETR4,OP,Put,28.6,-391400,1.91220355,BRL,1,4/14/2022
ABEV,OP,Put,20.07,6300,4.078828335,BRL,1,12/17/2021
YDUQ3,OP,Put,22.5,-49900,1.404492259,BRL,1,12/17/2021
VIVT3,OP,Call,53,6400,0.601470947,BRL,1,1/21/2022
CIEL3,OP,Put,5.96,6300,3.911122322,BRL,1,12/17/2021
PETR4,OP,Put,26.49,-402800,0.292550296,BRL,1,12/17/2021
PCAR3,OP,Call,35,7000,0.001463588,BRL,1,12/17/2021
EMBR3,OP,Call,19.5,42500,0.58334291,BRL,1,12/17/2021
CIEL3,OP,Call,2.36,-88800,0.022190575,BRL,1,12/17/2021
UNP,ST,,,2250,235.5749969,USD,1,
YDUQ3,OP,Put,25,-7500,3.181586027,BRL,1,12/17/2021
BRML3,OP,Call,8.2,-15300,0.176299632,BRL,1,12/17/2021
VIIA3,OP,Put,15.75,36900,10.44897747,BRL,1,12/17/2021
BBSE,OP,Call,21.48,95900,0.194943771,BRL,1,12/17/2021
PCAR3,OP,Put,29.75,100,7.67193222,BRL,1,12/17/2021
VALE3,OP,Call,69.97,-9600,5.049462795,BRL,1,1/21/2022
LAME4,OP,Put,5.2,95900,0.378728092,BRL,1,12/17/2021
VALE3,OP,Call,90.47,24000,0.278685153,BRL,1,1/21/2022
MGLU3,OP,Call,24.99,100,0.000463425,BRL,1,12/17/2021
LAME4,OP,Call,5.6,-5000,0.18360956,BRL,1,12/17/2021
CMIG4,OP,Call,16,3500,0.007696438,BRL,1,12/17/2021
BBDC4,OP,Put,31.41,900,11.04221153,BRL,1,1/21/2022
PETR4,OP,Call,32.6,284400,0.682147622,BRL,1,1/21/2022
GGBR4,OP,Put,8.78,-20100,0.003053454,BRL,1,5/20/2022
LAME4,OP,Call,8.1,-1000,0.010499728,BRL,1,12/17/2021
TAEE11,OP,Put,36.5,-1500,0.856327474,BRL,1,12/17/2021
VALE3,OP,Put,88.97,5600,17.71897507,BRL,1,1/21/2022
ABEV,OP,Call,15,27400,1.439169645,BRL,1,1/21/2022
VALE3,OP,Call,125.47,-200,0.031541251,BRL,1,1/21/2022
